,words,weight,yes,no
0,transitory,-2,4,1
1,pertinent,-1,6,2
2,amenable,0,2,1
3,loquacious,-1,3,1
4,ruminate,-1,3,1
5,nugatory,4,2,2
6,piddling,4,2,2
7,indelible,7,5,3
8,equivocally,0,2,1
9,prosaic,0,5,2
10,iconoclastic,-1,3,1
11,blasphemous,-1,3,1
12,stolid,0,2,1
13,phlegmatic,0,5,2
14,salutory,7,5,3
15,sanguine,0,2,1
16,exoneration,-2,4,1
17,aberration,0,2,1
18,torpor,-1,3,1
19,effusive,0,2,1
20,stoic,0,2,1
21,tractable,-1,3,1
22,congenial,-3,5,1
23,enigmatic,0,2,1
24,pseudonym,-1,3,1
25,abhorred,0,2,1
26,repudiated,0,2,1
27,deride,0,2,1
28,incinerate,0,2,1
29,allay,-1,3,1
30,rarefy,-1,3,1
31,denigrating,0,2,1
32,emancipation,-1,3,1
33,apathy,0,2,1
34,catholic,0,2,1
35,radical,0,2,1
36,valor,0,2,1
37,fidelity,0,2,1
38,salubrious,-2,4,1
39,emaciated,-1,3,1
40,dessicate,0,2,1
41,desultory,4,9,3
42,diatribe,-1,3,1
43,diffident,-1,3,1
44,dilate,0,2,1
45,dilatory,0,13,3
46,dilettante,0,2,1
47,dirge,4,32,5
48,disabuse,5,1,2
49,dissemble,5,1,2
50,dissonance,1,1,1
51,dogma,0,2,1
52,dogmatic,0,2,1
53,bigot,-1,3,1
54,eclectic,-2,4,1
55,elegy,1,1,1
56,eloquent,1,1,1
57,enervate,1,1,1
58,innervate,1,1,1
59,unnerving,1,1,1
60,engender,1,1,1
61,enigma,0,2,1
62,ephemeral,1,1,1
63,equivocal,1,1,1
64,equivocate,0,2,1
65,erudite,-1,3,1
66,esoteric,1,1,1
67,euphemism,0,2,1
68,exacerbate,0,2,1
69,exculpate,1,1,1
70,exigent,1,1,1
71,fervid,5,1,2
72,florid,0,2,1
73,foment,4,2,2
74,frugality,1,1,1
75,garrulous,-1,3,1
76,imperviable,1,1,1
77,browbeat,5,1,2
78,coevals,1,1,1
79,condign,1,1,1
80,contrite,1,1,1
81,covet,0,2,1
82,delinquency,-2,4,1
83,despicable,1,1,1
84,dithery,0,2,1
85,impervious,5,1,2
86,importunes,1,1,1
87,indigent,0,2,1
88,infallible,0,2,1
89,insalubrious,1,1,1
90,nascent,0,2,1
91,ostracized,0,2,1
92,pulpit,-1,3,1
93,renegades,5,1,2
94,sanctimonious,-1,3,1
95,truancy,1,1,1
96,twilight,-2,4,1
97,ubiquitous,0,2,1
98,eschewed,1,1,1
99,obviate,1,1,1
100,invigorating,0,2,1
101,vacillating,1,1,1
102,ebullience,1,1,1
103,repudiation,1,1,1
104,opulence,1,1,1
105,disconcerted,0,2,1
106,placate,1,1,1
107,animadversion,1,1,1
108,felicity,1,1,1
109,undergrid,1,1,1
110,gainsay,-1,3,1
111,recondite,1,1,1
112,overbearing,0,2,1
113,confusion,1,1,1
114,introspect,0,2,1
115,retrospect,1,1,1
116,surmise,12,1,3
117,acerbic,0,2,1
118,castigate,1,1,1
119,subjugate,0,2,1
120,renege,1,1,1
121,besmirch,5,1,2
122,iconoclast,0,2,1
123,neophyte,0,2,1
124,gourmand,0,2,1
125,dissidents,1,1,1
126,sonorous,-3,5,1
127,caustic,-1,3,1
128,mellifluous,1,1,1
129,strident,5,1,2
130,specious,-1,3,1
131,conviviality,0,2,1
132,discordant,0,2,1
133,ameliorating,0,2,1
134,deletrious,1,1,1
135,lugubriously,0,2,1
136,chauvinistic,1,1,1
137,infelicitous,-1,3,1
138,blithe,-1,3,1
139,recalcitrant,1,1,1
140,insolent,1,1,1
141,grandiloquent,1,1,1
142,vendetta,5,1,2
143,transgression,1,1,1
144,dereliction,1,1,1
145,corrective,-2,4,1
146,kernel,0,2,1
147,surreptitiously,0,2,1
148,clandestine,0,2,1
149,subliminal,1,1,1
150,blandishment,4,2,2
151,somnolence,1,1,1
152,indictment,1,1,1
153,perspicacious,0,2,1
154,jaundice,0,2,1
155,pugnacious,1,1,1
156,junta,0,2,1
157,raconteur,5,1,2
158,atavism,0,2,1
159,arcane,1,1,1
160,conspicuous,1,1,1
161,supercilious,-1,3,1
162,coalesces,1,1,1
163,embellish,0,2,1
164,abdicate,0,2,1
165,vacillate,0,2,1
166,abnegate,1,1,1
167,adumbrating,1,1,1
168,xerothermic,0,2,1
169,polemical,1,1,1
170,antithetical,1,1,1
171,objurgation,5,1,2
172,desecrate,5,1,2
173,seminal,1,1,1
174,deference,0,2,1
175,exodus,0,2,1
176,ostracize,0,2,1
177,chagrin,1,1,1
178,piquant,1,1,1
179,slander,5,1,2
180,timorous,5,1,2
181,indolent,0,2,1
182,invariably,-1,3,1
183,unprecendented,1,1,1
184,inroads,5,1,2
185,revile,1,1,1
186,propound,1,1,1
187,scrupulous,0,2,1
188,ostensibly,11,12,4
189,inelucatable,-1,3,1
190,fallible,0,2,1
191,reparation,0,2,1
192,trite,0,2,1
193,banal,1,1,1
194,mollify,0,2,1
195,heretofore,0,2,1
196,servile,1,1,1
197,servitude,0,2,1
198,tyro,0,2,1
199,panned,5,1,2
200,venerated,1,1,1
201,harangue,-3,5,1
202,abrogated,1,1,1
203,inscrutable,5,1,2
204,countenance,17,19,5
205,veracity,0,2,1
206,lackadaisical,1,1,1
207,assiduous,-2,4,1
208,jocose,1,1,1
209,reclusive,1,1,1
210,sedulous,5,1,2
211,remonstration,1,1,1
212,befuddlement,-1,3,1
213,disillusionment,4,2,2
214,recrimination,1,1,1
215,flagrantly,1,1,1
216,insiduously,1,1,1
217,vagabond,1,1,1
218,profiteer,1,1,1
219,patron,-1,3,1
220,prevaricate,0,2,1
221,denigrate,1,1,1
222,incontrovertible,12,1,3
223,commiserate,5,1,2
224,ratify,5,1,2
225,brandish,0,2,1
226,stultify,1,1,1
227,stupefy,0,2,1
228,jocular,0,2,1
229,droll,1,1,1
230,retroactive,5,1,2
231,frenetic,0,2,1
232,burgeon,-1,3,1
233,multifarious,1,1,1
234,apposite,1,1,1
235,cannon,0,2,1
236,canon,1,1,1
237,cantankerous,1,1,1
238,capricious,0,2,1
239,caucus,1,1,1
240,captious,1,1,1
241,centrifugal,0,2,1
242,centripetal,-1,3,1
243,vertigo,1,1,1
244,vexation,-1,3,1
245,limpid,5,1,2
246,heterodox,-1,3,1
247,ineluctable,0,2,1
248,exultant,0,2,1
249,melancholy,1,1,1
250,debilitation,5,1,2
251,assail,1,1,1
252,guise,-1,3,1
253,grouse,1,1,1
254,monopoly,1,1,1
255,sacrosanct,0,2,1
256,inviolable,-1,3,1
257,extant,0,2,1
258,corroborate,-1,3,1
259,obsolescence,1,1,1
260,faculty,1,1,1
261,chicanery,1,1,1
262,churlish,0,2,1
263,clairvoyant,1,1,1
264,clique,5,1,2
265,cloister,1,1,1
266,coagulate,-1,3,1
267,deriding,0,2,1
268,curt,-1,3,1
269,facile,1,1,1
270,dispel,5,1,2
271,impugn,-1,3,1
272,obtrude,0,2,1
273,venerate,1,1,1
274,olfactory,-1,3,1
275,antagonist,1,1,1
276,reticence,4,2,2
277,commensurate,1,1,1
278,complacent,1,1,1
279,complaisant,2,4,2
280,compunction,5,1,2
281,whimsical,1,1,1
282,concomitant,1,1,1
283,condone,1,1,1
284,consecrate,1,1,1
285,egregious,1,1,1
286,nebulous,0,2,1
287,implausible,1,1,1
288,intrepid,0,2,1
289,propitous,5,1,2
290,maladroit,1,1,1
291,virulent,1,1,1
292,sardonic,-1,3,1
293,fastidious,1,1,1
294,suffuse,2,11,3
295,proliferation,0,2,1
296,proclivity,1,1,1
297,predilection,-3,5,1
298,consternation,1,1,1
299,abnegation,1,1,1
300,trepidation,0,2,1
301,extirpation,1,1,1
302,destitute,0,2,1
303,embezzle,0,2,1
304,foraging,1,1,1
305,siphoning off,5,1,2
306,railing,0,2,1
307,tepid,1,1,1
308,aver,0,2,1
309,enunciate,12,1,3
310,fructify,0,2,1
311,inveigh,5,1,2
312,sycophant,1,1,1
313,zealot,0,2,1
314,renegade,1,1,1
315,proselytizing,0,2,1
316,exalt,1,1,1
317,reprehensible,1,1,1
318,censure,5,1,2
319,forsakes,0,2,1
320,ingenious,1,1,1
321,ingenuous,0,2,1
322,indigenous,1,1,1
323,beguile,1,1,1
324,ruefully,1,1,1
325,precipitous,5,1,2
326,hanker,12,1,3
327,collusion,1,1,1
328,naivete,-1,3,1
329,guileless,1,1,1
330,artifice,0,2,1
331,arbitrators,12,1,3
332,arbitration,1,1,1
333,fortuitous,5,1,2
334,execrable,0,2,1
335,impetuous,12,1,3
336,anathema,1,1,1
337,benediction,1,1,1
338,malediction,-1,3,1
339,travesty,1,1,1
340,consonance,1,1,1
341,calumny,1,1,1
342,contention,0,2,1
343,glut,1,1,1
344,diction,0,2,1
345,valediction,1,1,1
346,verbiage,-1,3,1
347,shibboleth,0,2,1
348,sporadic,-2,4,1
349,languidly,0,2,1
350,rancorous,5,1,2
351,galvanize,0,2,1
352,impede,1,1,1
353,mitigate,1,1,1
354,obeisance,1,1,1
355,opprobrium,0,2,1
356,pillage,-2,4,1
357,quiddity,0,2,1
358,coquette,1,1,1
359,cornucopia,0,2,1
360,covert,12,1,3
361,covetous,1,1,1
362,cozen,1,1,1
363,cogent,1,1,1
364,credence,-1,3,1
365,ardor,5,1,2
366,delineate,0,2,1
367,demotic,5,1,2
368,panegyric,1,1,1
369,denouement,1,1,1
370,continence,1,1,1
371,contumacious,1,1,1
372,conundrum,1,1,1
373,desuetude,5,1,2
374,diaphanous,5,1,2
375,dichotomy,0,2,1
376,diffidence,0,2,1
377,megalomania,1,1,1
378,mendacious,1,1,1
379,mendicant,0,2,1
380,meretricious,-1,3,1
381,quagmire,-1,3,1
382,quail,5,1,2
383,vapid,1,1,1
384,vaunt,1,1,1
385,venal,1,1,1
386,veracious,-1,3,1
387,vociferous,1,1,1
388,vitiate,1,1,1
389,vituperative,1,1,1
390,distraint,1,1,1
391,divulge,5,1,2
392,turbid,1,1,1
393,turgid,1,1,1
394,tutelary,12,1,3
395,undulating,0,2,1
396,usury,5,1,2
397,effete,1,1,1
398,effrontery,5,1,2
399,elysian,5,1,2
400,emollient,5,1,2
401,encomium,0,2,1
402,entomology,0,2,1
403,equable,1,1,1
404,equanimity,1,1,1
405,etymology,1,1,1
406,evocative,-1,3,1
407,vindictive,1,1,1
408,exigency,1,1,1
409,exorcise,1,1,1
410,expatiate,1,1,1
411,expatriate,1,1,1
412,atone,5,1,2
413,expiate,5,1,2
414,explicate,1,1,1
415,expository,1,1,1
416,extirpate,5,1,2
417,extraneous,0,2,1
418,factotum,1,1,1
419,fallow,5,1,2
420,fatuous,1,1,1
421,fawning,1,1,1
422, fervor,0,2,1
423,raiment,-1,3,1
424,recant,1,1,1
425,refractory,1,1,1
426,refulgent,12,1,3
427,forbearance,1,1,1
428,forestall,-1,3,1
429,obdurate,5,1,2
430,obsequious,-1,3,1
431,obsequy,5,1,2
432,odyssey,1,1,1
433,fracas,1,1,1
434,fractious,1,1,1
435,fulminate,1,1,1
436,fulsome,1,1,1
437,strut,-1,3,1
438,stygian,1,1,1
439,substantiate,0,2,1
440,subsume,5,1,2
441,gambol,1,1,1
442,tremulous,1,1,1
443,truculence,1,1,1
444,thespian,1,1,1
445,toady,5,1,2
446,timbre,0,2,1
447,tortuous,1,1,1
448,sylvan,1,1,1
449,tacit,1,1,1
450,taxonomy,0,2,1
451,tenet,1,1,1
452,tenuous,1,1,1
453,prevarication,1,1,1
454,munificence,1,1,1
455,incursion,1,1,1
456,gregarious,0,2,1
457,gustatory,1,1,1
458,halcyon,0,2,1
459,hallowed,5,1,2
460,litany,5,1,2
461,literati,1,1,1
462,sedition,1,1,1
463,sentient,11,2,3
464,sidereal,1,1,1
465,hyperbole,0,2,1
466,idolatory,1,1,1
467,igneous,0,2,1
468,imbroglio,1,1,1
469,impassive,1,1,1
470,jibe,5,1,2
471,juggernaut,4,2,2
472,laconic,1,1,1
473,peevish,5,1,2
474,malapropism,5,1,2
475,histrionic,0,2,1
476,homily,4,2,2
477,saturnine,5,1,2
478,satyr,1,1,1
479,succor,22,1,4
480,suffrage,1,1,1
481,sundry,1,1,1
482,suppliant,1,1,1
483,syllogism,12,1,3
484,ostensible,1,1,1
485,imperturbable,1,1,1
486,impinge,1,1,1
487,imprecation,1,1,1
488,stentorian,1,1,1
489,somatic,1,1,1
490,soporific,1,1,1
491,sordid,3,3,2
492,squalor,5,1,2
493,staccato,4,2,2
494,indigence,-1,3,1
495,inchoate,1,1,1
496,simian,1,1,1
497,sinecure,1,1,1
498,sunous,1,1,1
499,sobriety,1,1,1
500,sodden,0,2,1
501,solicitous,1,1,1
502,personable,1,1,1
503,munificent,0,2,1
504,ersatz,0,2,1
505,solipsistic,5,1,2
506,arresting,5,1,2
507,sophomoric,0,2,1
508,quixotic,-1,3,1
509,run the gauntlet,1,1,1
510,run the gamut,4,2,2
511,hold the line,0,2,1
512,disclaim,0,2,1
513,ponderous,5,1,2
514,cabal,12,1,3
515,incendiary,1,1,1
516,parochial,0,2,1
517,dulcet,1,1,1
518,urbane,1,1,1
519,painstaking,0,2,1
520,baneful,1,1,1
521,noxious,1,1,1
522,officious,-1,3,1
523,outstrip,-1,3,1
524,faculties,-1,3,1
525,poultice,5,1,2
526,foible,0,2,1
527,mores,1,1,1
528,peccadilloes,0,2,1
529,strife,1,1,1
530,impediment,-2,4,1
531,punitive,5,1,2
532,reverent,1,1,1
533,riposte,12,1,3
534,ruse,12,1,3
535,salacious,1,1,1
536,insuperable,1,1,1
537,interdict,1,1,1
538,internicine,5,1,2
539,intractable,1,1,1
540,intransigence,1,1,1
541,insipid,1,1,1
542,insouciant,5,1,2
543,insularity,5,1,2
544,apportion,1,1,1
545,delusion,-1,3,1
546,hysteria,0,2,1
547,stigmatized,1,1,1
548,antedated,0,2,1
549,complimentary,1,1,1
550,complementary,1,1,1
551,quaint,5,1,2
552,lascivious,0,2,1
553,sangfroid,-2,4,1
554,prescient,1,1,1
555,preternatural,-1,3,1
556,ordain,1,1,1
557,preordain,1,1,1
558,ludicrous,1,1,1
559,pithy,4,2,2
560,predeliction,0,2,1
561,indemnify,1,1,1
562,actuarial,5,1,2
563,quotidian,1,1,1
564,doyenne,5,1,2
565,slanderous,1,1,1
566,vicissitude,5,1,2
567,akimbo,1,1,1
568,subservient,1,1,1
569,askance to,5,1,2
570,improvident,0,2,1
571,taciturn,1,1,1
572,dissolute,1,1,1
573,impecunious,1,1,1
574,inimical,-1,3,1
575,pallid,1,1,1
576,listless,-1,3,1
